iter	Passed	Remaining
294	10408	7232
295	10440	7195
296	10476	7160
297	10505	7121
298	10536	7082
299	10566	7044
300	10599	7007
301	10632	6970
302	10664	6933
303	10695	6896
304	10727	6858
305	10760	6822
306	10793	6785
307	10824	6747
308	10853	6709
309	10903	6682
310	10944	6651
311	11001	6628
312	11048	6600
313	11090	6569
314	11123	6532
315	11186	6513
316	11272	6507
317	11326	6482
318	11376	6455
319	11422	6425
320	11481	6402
321	11530	6373
322	11587	6349
323	11630	6317
324	11666	6282
325	11703	6246
326	11759	6221
327	11799	6187
328	11838	6153
329	11872	6116
330	11924	6088
331	11981	6062
332	12036	6036
333	12099	6013
334	12149	5984
335	12183	5946
336	12217	5909
337	12268	5880
338	12325	5853
339	12383	5827
340	12442	5801
341	12497	5773
342	12542	5741
343	12602	5715
344	12655	5685
345	12715	5659
346	12772	5631
347	12828	5603
348	12871	5569
349	12917	5535
350	12976	5508
351	13029	5478
352	13090	5451
353	13159	5427
354	13223	5401
355	13263	5365
356	13302	5328
357	13350	5295
358	13409	5266
359	13461	5234
360	13519	5205
361	13562	5170
362	13620	5140
363	13663	5105
364	13719	5074
365	13752	5035
366	13795	4999
367	13833	4962
368	13867	4923
369	13909	4887
370	13961	4854
371	14021	4824
372	14068	4789
373	14105	4752
374	14153	4717
375	14188	4679
376	14220	4639
377	14256	4601
378	14291	4562
379	14323	4523
380	14360	4485
381	14409	4451
382	14461	4417
383	14527	4388
384	14566	4350
385	14611	4315
386	14673	4284
387	14715	4247
388	14753	4209
