iter	RMSE
349	7639.854277
350	7636.797647
351	7630.606303
352	7622.084344
353	7602.763596
354	7595.250297
355	7591.75925
356	7576.693634
357	7567.356891
358	7561.461427
359	7540.843164
360	7534.675599
361	7515.08968
362	7500.77144
363	7491.077499
364	7489.673447
365	7478.585917
366	7471.236057
367	7459.369365
368	7445.595863
369	7431.214628
370	7425.562803
371	7419.355296
372	7414.731068
373	7406.746519
374	7387.18357
375	7382.692908
376	7375.583737
377	7359.445843
378	7344.802916
379	7342.080687
380	7324.945262
381	7310.675145
382	7300.789027
383	7291.995814
384	7288.160199
385	7273.379046
386	7267.891277
387	7265.399347
388	7258.701881
